#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
1,elon musk children,us,54,507000,,0.45,elon musk children,2025-06-06 05:05:04,"Sitelinks,People also ask,Top stories,Thumbnail,Knowledge panel",911000,319000,408000,2015-09-10,"Informational,Non-branded,Non-local"
2,99 math,us,1,222000,0.70,,99math,2025-06-09 06:15:06,"Sitelinks,People also ask,Video preview",247000,1110000,1250000,2019-11-27,"Informational,Branded,Non-local"
3,elon musk kids,us,56,129000,,0.47,elon musk children,2025-06-06 02:46:54,"Sitelinks,People also ask,Knowledge panel",168000,319000,408000,2015-09-10,"Informational,Non-branded,Non-local"
4,math ai,us,2,120000,0.15,,math ai,2025-06-06 01:12:12,"Top ads,Paid sitelinks,Sitelinks,Top stories,Thumbnail,Bottom ads",206000,52000,88000,2016-12-21,"Informational,Non-branded,Non-local"
5,how many kids does elon musk have,us,42,113000,,0.37,how many children does elon musk have,2025-06-06 02:02:54,"Featured snippet,People also ask,Sitelinks,Top stories,Thumbnail",129000,10000,15000,2016-04-14,"Informational,Non-branded,Non-local"
6,elon musk education,us,10,79000,0.05,0.44,elon musk,2025-06-05 14:19:26,"Sitelinks,People also ask,Knowledge panel",127000,397000,689000,2015-09-01,"Informational,Non-branded,Non-local"
7,ad astra,us,73,73000,0.15,0.44,ad astra,2025-06-05 23:22:09,"People also ask,Knowledge panel,Sitelinks",268000,16000,28000,2015-09-01,"Informational,Branded,Non-local"
8,elon musk son,us,58,67000,0.03,0.35,elon musk children,2025-06-05 13:38:42,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview,Knowledge panel",90000,319000,408000,2016-03-10,"Informational,Non-branded,Non-local"
9,elon musk age,us,72,66000,0.02,0.17,elon musk,2025-06-06 01:28:07,"People also ask,Knowledge panel",107000,397000,689000,2015-09-05,"Informational,Non-branded,Non-local"
10,how many children does elon musk have,us,22,61000,,,how many children does elon musk have,2025-06-05 21:30:31,"Featured snippet,People also ask,Sitelinks",73000,10000,15000,2015-10-06,"Informational,Non-branded,Non-local"
11,99 math join,us,26,47000,0.60,,99 math join,2025-06-06 03:06:09,Sitelinks,48000,72000,76000,2020-02-14,"Navigational,Branded,Non-local"
