Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority,Keyword Difficulty,Average CPC,Search Intent
ai math help,6.5,4013,134,3.34%,2.66%,106,94.8,Top 10 Push,High,70,2.49,Informational
educational video games,6.1,2769,37,1.34%,4.66%,129,93.8,Top 10 Push,High,30,3.2,Informational
educational video game,4.0,958,12,1.25%,16.75%,160,91.2,Long-term Target,High,31,2.8,Informational
elementary math tutor,13.9,3801,1,0.03%,1.97%,75,89.2,First Page Push,High,35,4.75,Informational
video games to play at school,4.9,780,15,1.92%,11.08%,86,88.7,Top 10 Push,High,11,1.11,Informational
elon musk school,10.8,3872,27,0.70%,1.30%,50,88.0,Long-term Target,High,29,1.41,Informational
school video games,3.2,706,53,7.51%,10.49%,74,87.9,Long-term Target,High,37,1.17,Informational
ai tutor for kids,4.3,1267,108,8.52%,4.48%,56,87.5,Top 10 Push,High,67,6.21,Informational
after school activities,32.0,8004,10,0.12%,1.88%,150,86.9,Content Optimization,High,24,1.47,Informational
list of educational video games for kids,4.7,581,0,0.00%,13.00%,75,86.7,Top 10 Push,High,26,1.66,Informational
video games for school,3.0,385,20,5.19%,18.81%,72,85.8,CTR Optimization,High,19,1.38,Informational
math tutor near me,38.2,10348,0,0.00%,2.00%,206,85.1,Content Optimization,High,43,4.14,Informational
math ai tutor,5.9,1029,47,4.57%,4.43%,45,85.1,Top 10 Push,High,68,6.44,Informational
ai tutor,22.8,5487,53,0.97%,1.03%,56,84.9,Content Optimization,High,67,7.22,Informational
math tutors near me,37.7,8750,2,0.02%,1.98%,173,84.9,Content Optimization,High,49,3.59,Informational
after school activities for kids,16.8,2992,9,0.30%,1.70%,50,84.8,First Page Push,High,15,1.01,Informational
math tutor,40.7,23000,4,0.02%,1.98%,456,84.1,Content Optimization,High,37,3.3,Informational
math tutor online,38.7,6460,2,0.03%,1.97%,127,83.5,Content Optimization,High,44,4.61,Informational
ai math tutor for kids,1.2,475,115,24.21%,6.79%,32,83.2,Long-term Target,High,56,9.74,Informational
confidence boosting parenting habits,6.5,686,0,0.00%,6.00%,41,83.2,Top 10 Push,High,14,0.74,Informational
keiki,3.8,286,0,0.00%,18.00%,51,82.4,Long-term Target,High,42,1.86,Informational
breakium tutor for kids,2.9,237,3,1.27%,22.73%,53,82.4,CTR Optimization,High,28,3.8,Informational
math ai,12.3,48437,808,1.67%,0.33%,160,82.1,First Page Push,High,74,3.56,Informational
math tutoring near me,43.6,7472,0,0.00%,2.00%,149,82.0,Content Optimization,High,35,3.4,Informational
video games for kids,18.3,2364,11,0.47%,1.53%,36,82.0,First Page Push,High,28,1.21,Informational
kids video games,13.1,1453,5,0.34%,1.66%,24,81.3,First Page Push,High,31,1.52,Informational
99 math join,10.3,1081,0,0.00%,2.00%,21,81.1,Long-term Target,High,40,1.25,Informational
educational video games for kids,6.3,542,6,1.11%,4.89%,26,81.0,Top 10 Push,High,21,2.62,Informational
join.999 math.com,8.0,721,0,0.00%,3.00%,21,80.7,Top 10 Push,High,46,1.69,Informational
director of my daughter's tutor,7.4,564,0,0.00%,4.00%,22,80.3,Top 10 Push,High,24,1.72,Informational
math tutor app,8.4,761,8,1.05%,1.95%,14,80.1,Top 10 Push,High,45,4.09,Informational
online math tutor for kids,11.2,884,2,0.23%,1.77%,15,79.5,First Page Push,High,30,2.71,Informational
school appropriate video games,3.7,195,4,2.05%,15.95%,31,79.2,Long-term Target,High,10,0.67,Informational
fun video games to play at school,8.4,574,3,0.52%,2.48%,14,79.1,Top 10 Push,High,11,0.65,Informational
"""group activities for kids""",7.0,441,0,0.00%,4.00%,17,79.1,Top 10 Push,High,26,0.66,Informational
learning video games,6.3,379,5,1.32%,4.68%,17,78.9,Top 10 Push,High,41,2.71,Informational
math tutors,54.0,11788,0,0.00%,2.00%,235,78.8,Long-term Target,High,47,4.27,Informational
education video games,5.1,266,1,0.38%,8.62%,22,78.7,Top 10 Push,High,38,3.26,Informational
ai tutors for kids,4.5,280,20,7.14%,5.86%,16,78.6,Top 10 Push,High,65,6.25,Informational
online math tutor,55.0,9979,3,0.03%,1.97%,196,78.4,Long-term Target,High,38,3.95,Informational
popular video games for kids,11.4,704,2,0.28%,1.72%,12,78.4,First Page Push,High,18,1.01,Informational
best ai tutor for kids,4.2,286,27,9.44%,3.56%,10,78.1,Top 10 Push,High,46,15.77,Commercial
ai tutoring for kids,3.5,182,11,6.04%,11.96%,21,78.1,Long-term Target,High,62,9.73,Informational
online math tutoring,53.2,7153,1,0.01%,1.99%,142,78.0,Long-term Target,High,31,3.64,Informational
elon musk ai school,4.8,236,14,5.93%,7.07%,16,77.9,Top 10 Push,High,41,3.49,Informational
elon musk online school,6.0,372,28,7.53%,1.47%,5,77.8,Top 10 Push,High,15,1.82,Informational
math tutoring for kids,10.7,560,1,0.18%,1.82%,10,77.7,Long-term Target,High,21,4.05,Informational
best summer enrichment programs for kids,5.3,213,0,0.00%,9.00%,19,77.7,Top 10 Push,High,25,1.45,Commercial
video game for kids,13.8,749,2,0.27%,1.73%,12,77.6,First Page Push,High,22,1.41,Informational
spacex school,7.5,410,10,2.44%,1.56%,6,77.6,Top 10 Push,High,29,1.83,Informational
420 tutoring,7.5,331,0,0.00%,4.00%,13,77.6,Top 10 Push,High,38,3.88,Informational
math tutoring,57.1,15951,1,0.01%,1.99%,318,77.5,Long-term Target,High,36,4.76,Informational
elementary school math tutor,13.4,656,0,0.00%,2.00%,13,77.5,First Page Push,High,34,1.94,Informational
ai tutor for math,7.7,339,3,0.88%,3.12%,10,77.3,Top 10 Push,High,61,7.68,Informational
best ai math tutor for kids,2.1,129,12,9.30%,14.70%,18,77.2,CTR Optimization,High,52,6.59,Commercial
video games to play in school,6.4,280,6,2.14%,3.86%,10,77.2,Top 10 Push,High,11,0.7,Informational
ai math tutor free,7.7,395,11,2.78%,1.22%,4,77.2,Top 10 Push,High,50,6.09,Informational
free trial math tutor online,5.8,201,0,0.00%,9.00%,18,77.2,Top 10 Push,High,58,2.3,Informational
elon musk math,3.7,232,36,15.52%,2.48%,5,77.2,Long-term Target,High,40,1.56,Informational
joshua dahn,10.4,488,2,0.41%,1.59%,7,77.1,Long-term Target,High,37,1.39,Informational
how much does a math tutor cost,31.6,2193,0,0.00%,2.00%,43,77.1,Content Optimization,High,23,2.05,Transactional
mathematics tutoring,37.0,2791,0,0.00%,2.00%,55,77.0,Content Optimization,High,32,2.78,Informational
best video games for kids,17.0,877,5,0.57%,1.43%,12,76.9,First Page Push,High,40,3.25,Commercial
