Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority
math ai,12.3,48346,804,1.66%,0.34%,162,92.8,Top 10 Push,High
school video games,3.2,697,52,7.46%,10.54%,73,81.7,Long-term Target,High
sythesis,2.4,5770,422,7.31%,16.69%,962,81.3,CTR Optimization,High
confidence boosting parenting habits,6.5,686,0,0.00%,6.00%,41,81.2,Top 3 Push,High
list of educational video games for kids,4.7,581,0,0.00%,13.00%,75,81.1,Top 3 Push,High
educational video game,4.0,945,12,1.27%,16.73%,158,80.8,Long-term Target,High
synthesi,4.9,2384,57,2.39%,10.61%,252,80.7,Top 3 Push,High
sunthesis,2.7,1409,74,5.25%,18.75%,264,80.3,CTR Optimization,High
syntheis,2.4,1287,53,4.12%,19.88%,255,80.2,CTR Optimization,High
video games for school,3.0,382,20,5.24%,18.76%,71,80.2,CTR Optimization,High
video games to play at school,4.9,769,15,1.95%,11.05%,84,80.2,Top 3 Push,High
systhesis,3.0,1307,84,6.43%,17.57%,229,80.0,CTR Optimization,High
keiki,3.8,286,0,0.00%,18.00%,51,79.9,Long-term Target,High
syntasis,2.1,1053,2,0.19%,23.81%,250,79.9,CTR Optimization,High
syntehsis,2.3,940,31,3.30%,20.70%,194,79.5,CTR Optimization,High
synthasis,2.4,961,100,10.41%,13.59%,130,79.5,CTR Optimization,High
sintesis tutor,1.0,729,635,87.11%,0.00%,0,79.4,Long-term Target,High
synthesiz,2.7,930,6,0.65%,23.35%,217,79.3,CTR Optimization,High
synethesis,2.5,901,23,2.55%,21.45%,193,79.3,CTR Optimization,High
ai math help,6.5,4007,134,3.34%,2.66%,106,79.1,Top 3 Push,High
synthisis,2.1,2008,211,10.51%,13.49%,270,79.0,CTR Optimization,High
sysnthesis,2.7,779,43,5.52%,18.48%,143,78.9,CTR Optimization,High
synthesus,2.5,737,17,2.31%,21.69%,159,78.8,CTR Optimization,High
99 math join,10.3,1081,0,0.00%,2.00%,21,78.7,Long-term Target,High
synthesys,10.2,3438,25,0.73%,1.27%,43,78.1,Long-term Target,High
after school activities,31.9,7953,10,0.13%,1.87%,149,78.1,Long-term Target,High
syntheiss,2.2,454,9,1.98%,22.02%,99,77.7,CTR Optimization,High
symthesis,2.8,544,34,6.25%,17.75%,96,77.6,CTR Optimization,High
ai math tutor for kids,1.2,471,115,24.42%,6.58%,31,77.6,Long-term Target,High
breakium tutor for kids,2.9,235,3,1.28%,22.72%,53,77.5,CTR Optimization,High
ai tutoring for kids,3.5,182,11,6.04%,11.96%,21,77.2,Long-term Target,High
sinthesys,1.9,544,80,14.71%,16.29%,88,77.2,CTR Optimization,High
after school activities for kids,16.8,2967,9,0.30%,1.70%,50,77.0,Top 10 Push,High
elon musk ai school,4.8,236,14,5.93%,7.07%,16,76.8,Top 3 Push,High
keiki app,1.0,67,0,0.00%,31.00%,20,76.7,CTR Optimization,High
best ai math tutor for kids,2.0,128,12,9.38%,14.62%,18,76.7,CTR Optimization,High
synthesia tutor,1.0,197,135,68.53%,0.00%,0,76.3,Long-term Target,High
stnthesis,2.8,494,33,6.68%,17.32%,85,76.3,CTR Optimization,High
shyntesis,2.8,211,65,30.81%,0.00%,0,75.8,Long-term Target,High
sythensis,2.3,481,39,8.11%,15.89%,76,75.5,CTR Optimization,High
synthetic tutor,1.0,125,75,60.00%,0.00%,0,75.3,Long-term Target,High
join.999 math.com,8.0,721,0,0.00%,3.00%,21,74.9,Top 3 Push,High
99 math,39.2,580,0,0.00%,2.00%,11,74.8,Long-term Target,High
fun school video games,2.7,76,5,6.58%,17.42%,13,74.7,CTR Optimization,High
director of my daughter's tutor,7.4,564,0,0.00%,4.00%,22,74.6,Top 3 Push,High
interesting child,1.0,51,0,0.00%,31.00%,15,74.6,CTR Optimization,High
synthisis tutor,1.0,96,67,69.79%,0.00%,0,74.6,Long-term Target,High
snythesis,2.2,371,17,4.58%,19.42%,72,74.5,CTR Optimization,High
systhesis tutor,1.0,88,73,82.95%,0.00%,0,74.4,Long-term Target,High
