Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority,Est. Monthly Volume,Keyword Difficulty,Average CPC,Search Intent,Data Source
math ai,12.3,48346,804,1.66%,0.34%,162,92.8,Top 10 Push,High,120000,2,0.15,Informational,Ahrefs
school video games,3.2,697,52,7.46%,10.54%,73,81.7,Long-term Target,High,697,1,0.0,Informational,Ahrefs
sythesis,2.4,5770,422,7.31%,16.69%,962,81.3,CTR Optimization,High,5770,43,0.02,Informational,Ahrefs
confidence boosting parenting habits,6.5,686,0,0.00%,6.00%,41,81.2,Top 3 Push,High,3430,0,0.0,Informational,Ahrefs
list of educational video games for kids,4.7,581,0,0.00%,13.00%,75,81.1,Top 3 Push,High,581,0,0.0,Informational,Ahrefs
educational video game,4.0,945,12,1.27%,16.73%,158,80.8,Long-term Target,High,945,21,1.2,Informational,Ahrefs
synthesi,4.9,2384,57,2.39%,10.61%,252,80.7,Top 3 Push,High,11920,50,0.0,Informational,GSC Est.
sunthesis,2.7,1409,74,5.25%,18.75%,264,80.3,CTR Optimization,High,7045,50,0.0,Informational,GSC Est.
syntheis,2.4,1287,53,4.12%,19.88%,255,80.2,CTR Optimization,High,6435,50,0.0,Informational,GSC Est.
video games for school,3.0,382,20,5.24%,18.76%,71,80.2,CTR Optimization,High,382,1,0.0,Informational,Ahrefs
video games to play at school,4.9,769,15,1.95%,11.05%,84,80.2,Top 3 Push,High,769,12,0.0,Informational,Ahrefs
systhesis,3.0,1307,84,6.43%,17.57%,229,80.0,CTR Optimization,High,6535,50,0.0,Informational,GSC Est.
keiki,3.8,286,0,0.00%,18.00%,51,79.9,Long-term Target,High,4100,19,0.8,Informational,Ahrefs
syntasis,2.1,1053,2,0.19%,23.81%,250,79.9,CTR Optimization,High,5265,50,0.0,Informational,GSC Est.
syntehsis,2.3,940,31,3.30%,20.70%,194,79.5,CTR Optimization,High,4700,50,0.0,Informational,GSC Est.
synthasis,2.4,961,100,10.41%,13.59%,130,79.5,CTR Optimization,High,4805,50,0.0,Informational,GSC Est.
sintesis tutor,1.0,729,635,87.11%,0.00%,0,79.4,Long-term Target,High,3645,0,0.0,Informational,Ahrefs
synthesiz,2.7,930,6,0.65%,23.35%,217,79.3,CTR Optimization,High,4650,50,0.0,Informational,GSC Est.
synethesis,2.5,901,23,2.55%,21.45%,193,79.3,CTR Optimization,High,4505,50,0.0,Informational,GSC Est.
ai math help,6.5,4007,134,3.34%,2.66%,106,79.1,Top 3 Push,High,4007,42,0.5,Informational,Ahrefs
synthisis,2.1,2008,211,10.51%,13.49%,270,79.0,CTR Optimization,High,2008,43,0.9,Informational,Ahrefs
sysnthesis,2.7,779,43,5.52%,18.48%,143,78.9,CTR Optimization,High,3895,50,0.0,Informational,GSC Est.
synthesus,2.5,737,17,2.31%,21.69%,159,78.8,CTR Optimization,High,3685,50,0.0,Informational,GSC Est.
99 math join,10.3,1081,0,0.00%,2.00%,21,78.7,Long-term Target,High,47000,26,0.6,Informational,Ahrefs
synthesys,10.2,3438,25,0.73%,1.27%,43,78.1,Long-term Target,High,3438,9,0.4,Informational,Ahrefs
after school activities,31.9,7953,10,0.13%,1.87%,149,78.1,Long-term Target,High,7953,4,0.0,Informational,Ahrefs
syntheiss,2.2,454,9,1.98%,22.02%,99,77.7,CTR Optimization,High,2270,50,0.0,Informational,GSC Est.
symthesis,2.8,544,34,6.25%,17.75%,96,77.6,CTR Optimization,High,2720,50,0.0,Informational,GSC Est.
ai math tutor for kids,1.2,471,115,24.42%,6.58%,31,77.6,Long-term Target,High,471,0,0.0,Informational,Ahrefs
breakium tutor for kids,2.9,235,3,1.28%,22.72%,53,77.5,CTR Optimization,High,235,0,0.0,Informational,Ahrefs
ai tutoring for kids,3.5,182,11,6.04%,11.96%,21,77.2,Long-term Target,High,910,0,0.0,Informational,Ahrefs
sinthesys,1.9,544,80,14.71%,16.29%,88,77.2,CTR Optimization,High,2720,50,0.0,Informational,GSC Est.
after school activities for kids,16.8,2967,9,0.30%,1.70%,50,77.0,Top 10 Push,High,2967,3,0.0,Informational,Ahrefs
elon musk ai school,4.8,236,14,5.93%,7.07%,16,76.8,Top 3 Push,High,1180,0,0.0,Informational,Ahrefs
keiki app,1.0,67,0,0.00%,31.00%,20,76.7,CTR Optimization,High,500,0,1.1,Navigational,Ahrefs
best ai math tutor for kids,2.0,128,12,9.38%,14.62%,18,76.7,CTR Optimization,High,640,0,0.0,Commercial,Ahrefs
synthesia tutor,1.0,197,135,68.53%,0.00%,0,76.3,Long-term Target,High,985,0,0.0,Informational,Ahrefs
stnthesis,2.8,494,33,6.68%,17.32%,85,76.3,CTR Optimization,High,2470,50,0.0,Informational,GSC Est.
shyntesis,2.8,211,65,30.81%,0.00%,0,75.8,Long-term Target,High,1055,0,0.0,Informational,Ahrefs
sythensis,2.3,481,39,8.11%,15.89%,76,75.5,CTR Optimization,High,2405,50,0.0,Informational,GSC Est.
synthetic tutor,1.0,125,75,60.00%,0.00%,0,75.3,Long-term Target,High,625,0,0.0,Informational,Ahrefs
join.999 math.com,8.0,721,0,0.00%,3.00%,21,74.9,Top 3 Push,High,721,0,0.0,Informational,Ahrefs
99 math,39.2,580,0,0.00%,2.00%,11,74.8,Long-term Target,High,222000,1,0.7,Informational,Ahrefs
fun school video games,2.7,76,5,6.58%,17.42%,13,74.7,CTR Optimization,High,380,0,0.0,Informational,Ahrefs
director of my daughter's tutor,7.4,564,0,0.00%,4.00%,22,74.6,Top 3 Push,High,564,0,0.0,Informational,Ahrefs
interesting child,1.0,51,0,0.00%,31.00%,15,74.6,CTR Optimization,High,255,0,0.0,Informational,Ahrefs
synthisis tutor,1.0,96,67,69.79%,0.00%,0,74.6,Long-term Target,High,480,0,0.0,Informational,Ahrefs
snythesis,2.2,371,17,4.58%,19.42%,72,74.5,CTR Optimization,High,1855,50,0.0,Informational,GSC Est.
systhesis tutor,1.0,88,73,82.95%,0.00%,0,74.4,Long-term Target,High,440,0,0.0,Informational,Ahrefs
synthesia math,1.0,87,46,52.87%,0.00%,0,74.4,Long-term Target,High,435,0,0.0,Informational,Ahrefs
math ai tutor,5.9,1028,47,4.57%,4.43%,45,74.4,Top 3 Push,High,1028,23,1.0,Informational,Ahrefs
family tutoring,7.7,194,0,0.00%,4.00%,7,74.3,Top 3 Push,High,970,0,0.0,Informational,Ahrefs
synthisis ai,3.9,136,29,21.32%,0.00%,0,74.3,Long-term Target,High,680,0,0.0,Informational,Ahrefs
synergy math,3.3,123,34,27.64%,0.00%,0,74.3,Long-term Target,High,615,0,0.0,Informational,Ahrefs
ai tutor for elementary students,3.4,77,2,2.60%,15.40%,11,74.2,Long-term Target,High,385,0,0.0,Informational,Ahrefs
sythesis tutor,1.0,404,322,79.70%,0.00%,0,74.2,Long-term Target,High,404,0,0.0,Informational,Ahrefs
ai tutor for children,4.2,103,6,5.83%,7.17%,7,74.2,Top 3 Push,High,515,0,0.0,Informational,Ahrefs
syntheisis,2.2,334,9,2.69%,21.31%,71,74.2,CTR Optimization,High,1670,50,0.0,Informational,GSC Est.
spacex kids program,3.0,75,9,12.00%,12.00%,9,74.2,CTR Optimization,High,375,0,0.0,Informational,Ahrefs
shynthesis,2.1,94,27,28.72%,0.00%,0,74.1,Long-term Target,High,470,0,0.0,Informational,Ahrefs
synthasis ai,3.8,125,30,24.00%,0.00%,0,74.1,Long-term Target,High,625,0,0.0,Informational,Ahrefs
synthesys tutor,1.0,77,61,79.22%,0.00%,0,74.1,Long-term Target,High,385,0,0.0,Informational,Ahrefs
k-5 math tutoring with teachers,2.5,55,0,0.00%,24.00%,13,74.0,CTR Optimization,High,275,0,0.0,Informational,Ahrefs
ai math tutor,6.8,3160,206,6.52%,0.00%,0,74.0,Top 3 Push,High,3160,14,1.0,Informational,Ahrefs
síntesis tutor,1.0,73,61,83.56%,0.00%,0,74.0,Long-term Target,High,365,0,0.0,Informational,Ahrefs
elon musk school,10.8,3813,27,0.71%,1.29%,49,73.9,Long-term Target,High,3813,33,0.0,Informational,Ahrefs
sunthesis tutor,1.0,71,58,81.69%,0.00%,0,73.9,Long-term Target,High,355,0,0.0,Informational,Ahrefs
strategy camp 2025,3.5,68,1,1.47%,16.53%,11,73.9,Long-term Target,High,340,0,0.0,Informational,Ahrefs
sinthesis tutor,1.0,70,60,85.71%,0.00%,0,73.9,Long-term Target,High,350,0,0.0,Informational,Ahrefs
syntheis tutor,1.0,70,46,65.71%,0.00%,0,73.9,Long-term Target,High,350,0,0.0,Informational,Ahrefs
ai school elon musk,3.1,81,10,12.35%,5.65%,4,73.8,Long-term Target,High,405,0,0.0,Informational,Ahrefs
ai teacher for kids,4.9,102,8,7.84%,5.16%,5,73.7,Top 3 Push,High,510,0,0.0,Informational,Ahrefs
sintesis school,1.5,67,27,40.30%,0.00%,0,73.6,Long-term Target,High,335,0,0.0,Informational,Ahrefs
ai tutors for kids,4.5,279,20,7.17%,5.83%,16,73.5,Top 3 Push,High,279,0,0.0,Informational,Ahrefs
synthess,2.6,316,8,2.53%,21.47%,67,73.5,CTR Optimization,High,1580,50,0.0,Informational,GSC Est.
educational video games examples,3.3,61,2,3.28%,14.72%,8,73.4,Long-term Target,High,305,0,0.0,Informational,Ahrefs
s y n t h e s i s,3.2,214,1,0.47%,17.53%,37,73.3,Long-term Target,High,1070,50,0.0,Informational,GSC Est.
suynthesis,2.3,313,11,3.51%,20.49%,64,73.3,CTR Optimization,High,1565,50,0.0,Informational,GSC Est.
snthesis,2.0,320,14,4.38%,19.62%,62,73.3,CTR Optimization,High,1600,50,0.0,Informational,GSC Est.
systhesis ai,4.4,95,16,16.84%,0.00%,0,73.2,Long-term Target,High,475,0,0.0,Informational,Ahrefs
elon musk education,43.1,2668,0,0.00%,2.00%,53,73.2,Long-term Target,High,79000,10,0.05,Informational,Ahrefs
examples of educational video games,3.9,60,2,3.33%,14.67%,8,73.2,Long-term Target,High,300,0,0.0,Informational,Ahrefs
elon musk math program,1.3,271,108,39.85%,0.00%,0,73.1,Long-term Target,High,271,0,0.0,Informational,Ahrefs
best ai tutor for kids,4.2,286,27,9.44%,3.56%,10,73.1,Top 3 Push,High,286,0,0.0,Commercial,Ahrefs
sytesis,2.4,64,18,28.12%,0.00%,0,73.1,Long-term Target,High,320,0,0.0,Informational,Ahrefs
flash tutor service,6.3,95,0,0.00%,6.00%,5,73.0,Long-term Target,High,475,0,0.0,Informational,Ahrefs
ai tutor kids,5.3,95,15,15.79%,0.00%,0,72.9,Long-term Target,High,475,0,0.0,Informational,Ahrefs
best summer enrichment programs for kids,5.3,213,0,0.00%,9.00%,19,72.9,Top 3 Push,High,213,0,0.0,Commercial,Ahrefs
synthises,2.0,319,18,5.64%,18.36%,58,72.9,CTR Optimization,High,1595,50,0.0,Informational,GSC Est.
ai maths tutor,5.7,485,46,9.48%,0.00%,0,72.8,Top 3 Push,High,485,0,0.0,Informational,Ahrefs
sunthesis ai,3.8,70,14,20.00%,0.00%,0,72.8,Long-term Target,High,350,0,0.0,Informational,Ahrefs
what are some educational video games,5.2,71,1,1.41%,7.59%,5,72.7,Long-term Target,High,355,0,0.0,Informational,Ahrefs
how do stories about overcoming some challenge help children,7.9,111,0,0.00%,4.00%,4,72.6,Top 3 Push,High,555,0,0.0,Informational,Ahrefs
math tutors near me,37.7,8671,2,0.02%,1.98%,171,72.6,Long-term Target,High,8671,21,9.0,Informational,Ahrefs
synthethis,2.6,300,13,4.33%,19.67%,59,72.6,CTR Optimization,High,1500,50,0.0,Informational,GSC Est.
dot escuela,6.3,83,0,0.00%,6.00%,4,72.5,Long-term Target,High,415,0,0.0,Informational,Ahrefs
kids ai tutor,4.9,70,7,10.00%,3.00%,2,72.5,Long-term Target,High,350,0,0.0,Informational,Ahrefs
elon musk tutor,1.7,42,12,28.57%,2.43%,1,72.5,Long-term Target,High,210,0,0.0,Informational,Ahrefs
free trial math tutor online,5.8,200,0,0.00%,9.00%,18,72.5,Top 3 Push,High,200,0,0.0,Informational,Ahrefs
maths ai tutor,5.7,83,10,12.05%,0.00%,0,72.4,Long-term Target,High,415,0,0.0,Informational,Ahrefs
educational video games for children,4.4,52,0,0.00%,13.00%,6,72.4,Long-term Target,High,260,0,0.0,Informational,Ahrefs
sythesis teams,1.0,37,31,83.78%,0.00%,0,72.4,Long-term Target,High,185,0,0.0,Informational,Ahrefs
fun educational video games,6.0,79,2,2.53%,3.47%,2,72.4,Long-term Target,High,395,0,0.0,Informational,Ahrefs
synthese tutor,1.0,37,21,56.76%,0.00%,0,72.4,Long-term Target,High,185,0,0.0,Informational,Ahrefs
best video games for kids and parents,5.9,66,0,0.00%,9.00%,5,72.3,Long-term Target,High,330,0,0.0,Commercial,Ahrefs
elon musk math,3.7,229,36,15.72%,2.28%,5,72.3,Long-term Target,High,229,0,0.0,Informational,Ahrefs
educational video games for toddlers,6.1,74,1,1.35%,4.65%,3,72.3,Long-term Target,High,370,0,0.0,Informational,Ahrefs
sybthesis,2.7,360,35,9.72%,14.28%,51,72.2,CTR Optimization,High,1800,50,0.0,Informational,GSC Est.
ai tutor for kids,4.3,1259,107,8.50%,4.50%,56,72.2,Top 3 Push,High,1259,45,0.0,Informational,Ahrefs
sinthesis ai,4.3,60,12,20.00%,0.00%,0,72.2,Long-term Target,High,300,0,0.0,Informational,Ahrefs
elementary school video games,4.5,50,1,2.00%,11.00%,5,72.2,Long-term Target,High,250,0,0.0,Informational,Ahrefs
synthesize ai,9.0,2056,2,0.10%,2.40%,49,72.2,Top 3 Push,High,2056,38,0.8,Informational,Ahrefs
ai tutor for math,7.6,338,3,0.89%,3.11%,10,72.1,Top 3 Push,High,338,0,0.0,Informational,Ahrefs
video games school appropriate,3.9,42,1,2.38%,15.62%,6,72.1,Long-term Target,High,210,0,0.0,Navigational,Ahrefs
kids video games,13.1,1435,5,0.35%,1.65%,23,72.1,Top 10 Push,High,1435,13,0.0,Informational,Ahrefs
what is your favourite after-school activity,9.7,139,6,4.32%,0.00%,0,72.0,Top 3 Push,High,695,0,0.0,Informational,Ahrefs
sythesis school,1.0,31,18,58.06%,0.00%,0,71.9,Long-term Target,High,155,0,0.0,Informational,Ahrefs
